date,currency,tenor,floating_rate,rate
2025-11-03,AUD,9M,3M BBSW,0.03575000000000041
2025-10-31,AUD,9M,3M BBSW,0.03552999999999993
2025-10-30,AUD,9M,3M BBSW,0.03554900000000014
2025-10-29,AUD,9M,3M BBSW,0.03569600000000017
2025-10-28,AUD,9M,3M BBSW,0.03427300000000023
2025-10-27,AUD,9M,3M BBSW,0.034353000000000036
2025-10-24,AUD,9M,3M BBSW,0.03366399640390267
2025-10-23,AUD,9M,3M BBSW,0.03383299999999999
2025-10-22,AUD,9M,3M BBSW,0.033582999999999974
2025-10-21,AUD,9M,3M BBSW,0.03368499999999992
2025-10-20,AUD,9M,3M BBSW,0.03359800000000037
2025-10-17,AUD,9M,3M BBSW,0.03332096350091392
2025-10-16,AUD,9M,3M BBSW,0.03339200000000016
2025-10-15,AUD,9M,3M BBSW,0.03477999999999986
2025-10-14,AUD,9M,3M BBSW,0.03478700000000018
2025-10-13,AUD,9M,3M BBSW,0.034733000000000215
2025-10-10,AUD,9M,3M BBSW,0.03514404370043976
2025-10-09,AUD,9M,3M BBSW,0.03512699999999998
2025-10-08,AUD,9M,3M BBSW,0.03485500000000001
2025-10-07,AUD,9M,3M BBSW,0.03482800000000017
2025-10-03,AUD,9M,3M BBSW,0.03483560041954712
2025-10-02,AUD,9M,3M BBSW,0.03472399999999976
2025-10-01,AUD,9M,3M BBSW,0.03488591802881876
2025-09-30,AUD,9M,3M BBSW,0.03508499999891495
2025-09-29,AUD,9M,3M BBSW,0.03464893023669295
2025-09-26,AUD,9M,3M BBSW,0.034908837337569464
2025-09-25,AUD,9M,3M BBSW,0.03490179741113265
2025-09-24,AUD,9M,3M BBSW,0.03496200000000006
2025-09-23,AUD,9M,3M BBSW,0.03387200000000052
2025-09-22,AUD,9M,3M BBSW,0.03399297986112232
2025-09-19,AUD,9M,3M BBSW,0.03371
2025-09-18,AUD,9M,3M BBSW,0.033683000000000046
2025-09-17,AUD,9M,3M BBSW,0.03378800000000003
2025-09-16,AUD,9M,3M BBSW,0.03383200000006742
